😀  grinning face
🎲  game die
🎳  bowling
🎴  flower playing cards
🎵  musical note
🎶  multiple musical notes
🎷  saxophone
🎸  guitar
🎹  musical keyboard
🎺  trumpet
🎻  violin
🎼  musical score
🎽  running shirt with sash
🎾  tennis racquet and ball
🎿  ski and ski boot
🏀  basketball and hoop
🏁  chequered flag
🏂  snowboarder
🏃  runner
🏄  surfer
🏅  sports medal
🏆  trophy
🏇  horse racing
🏈  american football
🏉  rugby football
🏊  swimmer
🏋  weight lifter
🏌  golfer
🏍  racing motorcycle
🏎  racing car
🏏  cricket bat and ball
🏐  volleyball
🏑  field hockey stick and ball
🏒  ice hockey stick and puck
🏓  table tennis paddle and ball
🏔  snow capped mountain
🏕  camping
🏖  beach with umbrella
🏗  building construction
🏘  house buildings
🏙  cityscape
🏚  derelict house building
🏛  classical building
🏜  desert
🏝  desert island
🏞  national park
🏟  stadium
🏠  house building
🏡  house with garden
🏢  office building
🏣  japanese post office
🏤  european post office
🏥  hospital
🏦  bank
🏧  automated teller machine
🏨  hotel
🏩  love hotel
🏪  convenience store
🏫  school
🏬  department store
🏭  factory
🏮  izakaya lantern
🏯  japanese castle
🏰  european castle
🏱  white pennant
🏲  black pennant
🏳  waving white flag
🏴  waving black flag
🏵  rosette
🏶  black rosette
🏷  label
🏸  badminton racquet and shuttlecock
🏹  bow and arrow
🏺  amphora
🏻  emoji modifier fitzpatrick type-1-2
🏼  emoji modifier fitzpatrick type-3
🏽  emoji modifier fitzpatrick type-4
🏾  emoji modifier fitzpatrick type-5
🏿  emoji modifier fitzpatrick type-6
🐀  rat
🐁  mouse
🐂  ox
🐃  water buffalo
🐄  cow
🐅  tiger
🐆  leopard
🐇  rabbit
🐈  cat
🐉  dragon
🐊  crocodile
🐋  whale
🐌  snail
🐍  snake
🐎  horse
🐏  ram
🐐  goat
🐑  sheep
🐒  monkey
🐓  rooster
🐔  chicken
🐕  dog
🐖  pig
🐗  boar
🐘  elephant
🐙  octopus
🐚  spiral shell
🐛  bug
🐜  ant
🐝  honeybee
🐞  lady beetle
🐟  fish
🐠  tropical fish
🐡  blowfish
🐢  turtle
🐣  hatching chick
🐤  baby chick
🐥  front-facing baby chick
🐦  bird
🐧  penguin
🐨  koala
🐩  poodle
🐪  dromedary camel
🐫  bactrian camel
🐬  dolphin
🐭  mouse face
🐮  cow face
🐯  tiger face
🐰  rabbit face
🐱  cat face
🐲  dragon face
🐳  spouting whale
🐴  horse face
🐵  monkey face
🐶  dog face
🐷  pig face
🐸  frog face
🐹  hamster face
🐺  wolf face
🐻  bear face
🐼  panda face
🐽  pig nose
🐾  paw prints
🐿  chipmunk
👀  eyes
👁  eye
👂  ear
👃  nose
👄  mouth
👅  tongue
👆  white up pointing backhand index
👇  white down pointing backhand index
👈  white left pointing backhand index
👉  white right pointing backhand index
👊  fisted hand sign
👋  waving hand sign
👌  ok hand sign
👍  thumbs up sign
👎  thumbs down sign
👏  clapping hands sign
👐  open hands sign
👑  crown
👒  womans hat
👓  eyeglasses
👔  necktie
👕  t-shirt
👖  jeans
👗  dress
👘  kimono
👙  bikini
👚  womans clothes
👛  purse
👜  handbag
👝  pouch
👞  mans shoe
👟  athletic shoe
👠  high-heeled shoe
👡  womans sandal
👢  womans boots
👣  footprints
👤  bust in silhouette
👥  busts in silhouette
👦  boy
👧  girl
👨  man
👩  woman
👪  family
👫  man and woman holding hands
👬  two men holding hands
👭  two women holding hands
👮  police officer
👯  woman with bunny ears
👰  bride with veil
👱  person with blond hair
👲  man with gua pi mao
👳  man with turban
👴  older man
👵  older woman
👶  baby
👷  construction worker
👸  princess
👹  japanese ogre
👺  japanese goblin
👻  ghost
👼  baby angel
👽  extraterrestrial alien
👾  alien monster
👿  imp
💀  skull
💁  information desk person
💂  guardsman
💃  dancer
💄  lipstick
💅  nail polish
💆  face massage
💇  haircut
💈  barber pole
💉  syringe
💊  pill
💋  kiss mark
💌  love letter
💍  ring
💎  gem stone
💏  kiss
💐  bouquet
💑  couple with heart
💒  wedding
💓  beating heart
💔  broken heart
💕  two hearts
💖  sparkling heart
💗  growing heart
💘  heart with arrow
💙  blue heart
💚  green heart
💛  yellow heart
💜  purple heart
💝  heart with ribbon
💞  revolving hearts
💟  heart decoration
💠  diamond shape with a dot inside
💡  electric light bulb
💢  anger symbol
💣  bomb
💤  sleeping symbol
